experiment,video,frames,total_time_s,avg_fps,avg_processing_ms,avg_detections,max_detections,zero_det_frames,total_tracks,avg_track_lifetime,avg_flow_points,flow_reinits,avg_displacement_px,avg_velocity_px_s
Experiment 1: Single Object,scenario_1_single_object.avi,45,0.205,219.3,4.56,0.82,1,8,1,37.0,10.76,0,8.09,161.85
Experiment 2: Multi Object,scenario_2_multi_object.avi,50,0.416,120.24,8.32,1.64,2,8,2,41.0,12.12,0,6.4,128.11
Experiment 3: Slow Motion,scenario_3_slow_motion.avi,50,0.473,105.7,9.46,0.68,1,16,1,34.0,4.98,0,15.3,306.05
Experiment 4: Fast Motion,scenario_4_fast_motion.avi,35,0.293,119.6,8.36,0.43,1,20,1,15.0,2.57,0,19.03,380.59
Experiment 5: Object Reentry,scenario_5_reentry.avi,65,0.503,129.16,7.74,0.69,1,20,2,22.5,3.17,0,12.27,245.35
Experiment 6: Background Variation,scenario_6_background_variation.avi,50,0.388,128.86,7.76,0.84,1,8,1,42.0,5.32,0,6.89,137.74
Comparison: Config A (Low Compute),scenario_2_multi_object.avi (Config A),50,0.23,217.83,4.59,0.06,2,48,3,1.0,11.78,0,0.0,0.0
Comparison: Config B (High Compute),scenario_2_multi_object.avi (Config B),50,0.269,186.07,5.37,1.42,2,13,2,35.5,8.84,0,7.32,146.41
cli_synthetic_demo.avi,synthetic_demo.avi,15,0.113,132.96,7.52,0.67,1,5,1,10.0,3.73,0,8.81,264.41
cli_synthetic_demo.avi,synthetic_demo.avi,5,0.043,116.39,8.59,0.0,0,5,0,0.0,3.2,0,0.0,0.0
